I need the update query to sort properly the top  : see sample data for from the ==> rbd -->


sh-5.1$ rbd du -p "$POOL"                                                        
warning: fast-diff map is not enabled for csi-snap-25ae561d-8e68-488c-b5ad-1158f69daae2. operation may be slow.

NAME                                                                                         PROVISIONED  USED    
csi-snap-25ae561d-8e68-488c-b5ad-1158f69daae2@csi-snap-25ae561d-8e68-488c-b5ad-1158f69daae2       20 GiB       0 B
csi-snap-25ae561d-8e68-488c-b5ad-1158f69daae2                                                     20 GiB       0 B
csi-snap-3760c730-9cce-4bb3-aea7-a75473edcb35@csi-snap-3760c730-9cce-4bb3-aea7-a75473edcb35        5 GiB       0 B
csi-snap-3760c730-9cce-4bb3-aea7-a75473edcb35                                                      5 GiB       0 B
csi-snap-3f679cba-0408-462a-8d26-f92b2d72bace@csi-snap-3f679cba-0408-462a-8d26-f92b2d72bace        1 GiB       0 B
csi-snap-3f679cba-0408-462a-8d26-f92b2d72bace                                                      1 GiB       0 B
csi-snap-4189b7d1-93a8-4ad7-baba-6ee89f8cc702@csi-snap-4189b7d1-93a8-4ad7-baba-6ee89f8cc702       20 GiB       0 B
csi-snap-4189b7d1-93a8-4ad7-baba-6ee89f8cc702                                                     20 GiB       0 B
csi-snap-6361e9a4-8b9f-4f65-a43d-5d5af3040cff@csi-snap-6361e9a4-8b9f-4f65-a43d-5d5af3040cff        8 GiB       0 B
csi-snap-6361e9a4-8b9f-4f65-a43d-5d5af3040cff                                                      8 GiB       0 B
csi-snap-6f367259-1da1-4d2f-9617-d514d4661ac4@csi-snap-6f367259-1da1-4d2f-9617-d514d4661ac4        8 GiB       0 B
csi-snap-6f367259-1da1-4d2f-9617-d514d4661ac4                                                      8 GiB       0 B
csi-snap-70c7effe-d3a8-447d-87d4-71b1ca61df8c@csi-snap-70c7effe-d3a8-447d-87d4-71b1ca61df8c       40 GiB       0 B
csi-snap-70c7effe-d3a8-447d-87d4-71b1ca61df8c                                                     40 GiB       0 B
csi-snap-7bf4050e-0d3b-47b3-a06c-8a47ee040e35@csi-snap-7bf4050e-0d3b-47b3-a06c-8a47ee040e35        9 GiB       0 B
csi-snap-7bf4050e-0d3b-47b3-a06c-8a47ee040e35                                                      9 GiB       0 B
csi-snap-9e8f6ed6-efb2-4a4e-845f-fa72b67ddc8e@csi-snap-9e8f6ed6-efb2-4a4e-845f-fa72b67ddc8e       10 GiB       0 B
csi-snap-9e8f6ed6-efb2-4a4e-845f-fa72b67ddc8e                                                     10 GiB       0 B
csi-snap-a4210e36-b672-43f7-8bb4-bc0705f36d71@csi-snap-a4210e36-b672-43f7-8bb4-bc0705f36d71       20 GiB       0 B
csi-snap-a4210e36-b672-43f7-8bb4-bc0705f36d71                                                     20 GiB       0 B
csi-snap-d27e22fb-22b6-46c7-aca8-a3bf9ce05553@csi-snap-d27e22fb-22b6-46c7-aca8-a3bf9ce05553       10 GiB       0 B
csi-snap-d27e22fb-22b6-46c7-aca8-a3bf9ce05553                                                     10 GiB       0 B
csi-snap-e8ba2e06-b6af-4e6d-a731-e69f45cdc992@csi-snap-e8ba2e06-b6af-4e6d-a731-e69f45cdc992       20 GiB       0 B
csi-snap-e8ba2e06-b6af-4e6d-a731-e69f45cdc992                                                     20 GiB       0 B
csi-snap-eb240f10-9abf-43fb-b7a0-e73ad1aaec63@csi-snap-eb240f10-9abf-43fb-b7a0-e73ad1aaec63       30 GiB       0 B
csi-snap-eb240f10-9abf-43fb-b7a0-e73ad1aaec63                                                     30 GiB       0 B
csi-vol-00842451-49b1-4964-b6e9-9730a32c7d52                                                       1 GiB    28 MiB
csi-vol-00ba1151-2e93-4221-b59b-ea9c0f4e5dfd                                                       5 GiB   476 MiB
csi-vol-014967ba-8ca3-422a-b72c-f8d7206bcac0                                                       1 GiB    28 MiB
csi-vol-0238e792-946f-4799-832c-cea456e02e82                                                      20 GiB    10 GiB
csi-vol-024db228-1cfc-4ab8-aac4-2fc77499495a                                                      10 GiB   144 MiB
csi-vol-02b80ba3-090d-4d80-96d2-8834ff05740a                                                       1 GiB    28 MiB
csi-vol-0302af38-eece-11ed-87ee-0a58af011c1e                                                       5 GiB   108 MiB
csi-vol-0371d76e-f464-11ed-87ee-0a58af011c1e                                                      40 GiB   9.2 GiB
csi-vol-04d6112f-2914-41bd-b604-8b15bc3ce40e                                                       1 GiB    28 MiB
csi-vol-0508153a-cec7-4ddc-b9a6-880b5d05b8f3                                                       5 GiB    48 MiB
csi-vol-05bafc4e-0ef6-4146-b4ee-eb38a2137130                                                       1 GiB   552 MiB
csi-vol-0730ae45-5dea-44a2-aada-616c821da3e5                                                       1 GiB    28 MiB
csi-vol-073cc1a0-e02b-485a-88ce-d5f3dd14298c                                                       2 GiB    32 MiB
csi-vol-074f4994-897f-4031-873b-b31a74f45e9b                                                       2 GiB   452 MiB
csi-vol-0770bfac-bf2c-4d09-95c1-73b2b3c403cd                                                       1 GiB    40 MiB
csi-vol-07dadceb-e2d3-4d91-9fb1-8ef7bae48a6a                                                       1 GiB   108 MiB
csi-vol-0803007b-b0d8-44c3-9e69-3cf891a6f8c5                                                      10 GiB   2.4 GiB
csi-vol-08920a86-f399-11ed-87ee-0a58af011c1e                                                       5 GiB    48 MiB
csi-vol-0893fd72-f399-11ed-87ee-0a58af011c1e                                                       5 GiB    48 MiB
csi-vol-0898d92b-f399-11ed-87ee-0a58af011c1e                                                       5 GiB    48 MiB
csi-vol-089c81ec-f399-11ed-87ee-0a58af011c1e                                                       5 GiB   112 MiB
csi-vol-08ea8167-eb65-11ed-87ee-0a58af011c1e                                                       1 GiB    56 MiB
csi-vol-08ec0ab3-eb65-11ed-87ee-0a58af011c1e                                                       1 GiB    28 MiB
csi-vol-08eedd9d-eb65-11ed-87ee-0a58af011c1e                                                       1 GiB    88 MiB
csi-vol-08f28281-eb65-11ed-87ee-0a58af011c1e                                                       1 GiB    28 MiB
csi-vol-090bb9ee-f399-11ed-87ee-0a58af011c1e                                                       5 GiB   116 MiB
csi-vol-092e0935-ef60-405d-a705-9b40a043f39e                                                       1 GiB   540 MiB
csi-vol-0948a1e3-f399-11ed-87ee-0a58af011c1e                                                       5 GiB    48 MiB
csi-vol-097ccba7-1f14-46fc-82aa-cb18f083a56a                                                     256 MiB    48 MiB
csi-vol-09d8a8b3-524e-499b-bc63-0e54fad2ddd2                                                       2 GiB   408 MiB
csi-vol-09f9a1fa-ec6d-4ec6-aeed-bed30f7dee18                                                       2 GiB   184 MiB
csi-vol-0a5c6900-44c1-4ba0-a069-00377c5208bd                                                       1 GiB    28 MiB
csi-vol-0aa94bb5-c567-4b8d-84f9-5f0612c79766                                                      10 GiB   5.5 GiB
csi-vol-0ab642ee-71ab-4c01-9a05-18c3c96454f4                                                       1 GiB   204 MiB
csi-vol-0af65456-b776-4471-a463-5b195e21dbdc                                                     100 MiB    32 MiB
csi-vol-0b1222dc-c474-41f8-aa5a-e48e8071f24e                                                       1 GiB    28 MiB
csi-vol-0b5916b3-1475-44a5-8278-d80d5cdeddae                                                       2 GiB    76 MiB
csi-vol-0bceecec-9465-4e0a-92b8-8d48a743417b                                                      10 GiB   7.1 GiB
csi-vol-0c09a6b7-f494-496f-8f52-db61a377c283                                                       5 GiB    88 MiB
csi-vol-0c533c71-3fca-4ecc-885f-019f716ba259                                                       2 GiB   112 MiB
csi-vol-0d035a78-f9f4-40f2-b185-1f8a1644509e                                                       1 TiB   2.1 GiB
csi-vol-0da161d6-9ce7-4567-8abf-075b1a92bf4a                                                       2 GiB   152 MiB
csi-vol-0dda90d0-1d8b-4af1-b70a-416b0fbf6520                                                       2 GiB   640 MiB
csi-vol-0de0a4e4-da9c-4de1-86ec-3c8ce5685096                                                       2 GiB   128 MiB
csi-vol-0e15816a-7c09-4ead-8404-b5b0d7ffa292                                                       2 GiB   368 MiB
csi-vol-0e7bb35e-5d27-4cab-bc3c-32124d2fd4be                                                       1 GiB   976 MiB
csi-vol-0e96db70-7bab-4705-841f-448f1f20fb36                                                      10 GiB   316 MiB
csi-vol-0eea0061-e065-4bd5-bb0c-d66a99512503                                                       1 GiB    28 MiB
csi-vol-0eea4fa3-9dcf-487f-92a9-bd4f85096361                                                       1 GiB   104 MiB
csi-vol-0ef71e9e-1b9d-4138-8940-0424c8266da2                                                       2 GiB   104 MiB
csi-vol-0f0a81ae-97ab-4104-a559-725ef626ee87                                                       1 GiB    32 MiB
csi-vol-0fa5ca35-f980-4836-8e03-e16ce01dde64                                                       2 GiB   240 MiB
csi-vol-10193ec6-a1c7-4954-b97e-36de1b30f476                                                       5 GiB   100 MiB
csi-vol-106c7a67-6595-4955-8164-bc2d2c1fd20d                                                       5 GiB       0 B
csi-vol-106cce2b-4821-11ee-9534-0a58af000230                                                       1 GiB    32 MiB
csi-vol-10e4278d-96e2-45eb-a5be-e21708c59ccb                                                      10 GiB   3.5 GiB
csi-vol-110ef030-d798-46f7-975e-80ab98d6dea5                                                       1 GiB  1016 MiB
csi-vol-11f664cc-621f-4e19-b335-ee2aac9dc011                                                      10 GiB   196 MiB
csi-vol-1214bea0-308c-4200-9a5f-429b416a022c                                                       2 GiB   100 MiB
csi-vol-126201ad-da47-48d2-81a0-cd8d065e2805                                                      10 GiB   7.7 GiB
csi-vol-13354630-4985-4bad-ba6e-fff5ab3f004b                                                       1 GiB    28 MiB
csi-vol-1344cd72-f406-11ed-87ee-0a58af011c1e                                                       8 GiB   2.3 GiB
csi-vol-135b1b5c-fc08-11ed-b1d1-0a58af0023ce                                                       8 GiB   592 MiB
csi-vol-1501c899-1913-4ee3-87c1-d0ac54cbcf71                                                       5 GiB    48 MiB
csi-vol-15199820-3477-4860-91e6-fee21cd9dc32                                                      50 GiB   9.1 GiB
csi-vol-152506ac-fa67-11ed-b962-0a58af011a8d                                                      10 GiB   4.6 GiB
csi-vol-154945e3-db0a-48c6-8c0d-3d33709bacb0                                                      10 GiB   132 MiB
csi-vol-158cf8b8-ccc3-4724-a852-d8e71bf5248b                                                       1 GiB    28 MiB
csi-vol-1663475d-6822-4d54-bda4-e6b0a2df19fa                                                       1 GiB    64 MiB
csi-vol-16c4e671-de19-11ed-bdf3-0a58af021a26                                                       1 GiB   160 MiB
csi-vol-16d4a6e6-a24b-4307-aa0f-d95754061de2                                                      10 GiB   372 MiB
csi-vol-16e5979e-f67e-11ed-b962-0a58af011a8d                                                       1 GiB    36 MiB
csi-vol-16e8334c-f67e-11ed-b962-0a58af011a8d                                                       1 GiB    64 MiB
csi-vol-16e8373c-f67e-11ed-b962-0a58af011a8d                                                       3 GiB    36 MiB
csi-vol-16eac475-f67e-11ed-b962-0a58af011a8d                                                      50 GiB  1020 MiB
csi-vol-16ed36ea-f67e-11ed-b962-0a58af011a8d                                                      50 GiB   1.1 GiB
csi-vol-16fac292-f67e-11ed-b962-0a58af011a8d                                                       3 GiB    36 MiB
csi-vol-17565f2d-f67e-11ed-b962-0a58af011a8d                                                      50 GiB  1004 MiB
csi-vol-17abd708-3cdd-4d56-b5c0-461ba989035e                                                      10 GiB   3.0 GiB
csi-vol-17d1cd19-f67e-11ed-b962-0a58af011a8d                                                       3 GiB    36 MiB
csi-vol-1882775c-7345-47bb-9fc6-381ad929f249                                                      10 GiB   360 MiB
csi-vol-1936ed02-a7f8-4b99-8a79-1f1fc31857fe                                                       1 GiB    28 MiB
csi-vol-1940f5d4-faf8-4ead-aa4a-fdf10d4ee27f                                                       5 GiB   236 MiB
csi-vol-195b234e-590c-443b-9817-20d30cdbadd6                                                       1 GiB    28 MiB
